#T,KcolP250,KcolP350,KcolP500,KcolE250,KcolE350,KcolE500
3.0,0.60,0.85,0.95,0.5244,0.7756,0.8710
4.0,0.82,0.97,1.03,0.7441,0.9177,0.9903
5.0,0.94,1.02,1.04,0.8704,0.9808,1.0339
6.0,0.99,1.03,1.03,0.9414,1.0084,1.0479
7.0,1.02,1.03,1.02,0.9811,1.0196,1.0501
8.0,1.03,1.02,1.00,1.0031,1.0230,1.0475
9.0,1.03,1.01,0.99,1.0150,1.0226,1.0433
10.0,1.03,1.00,0.98,1.0208,1.0204,1.0385
15.0,1.00,0.97,0.94,1.0182,1.0049,1.0188
20.0,0.97,0.95,0.93,1.0064,0.9933,1.0070
25.0,0.96,0.94,0.91,0.9966,0.9856,0.9997
30.0,0.94,0.93,0.91,0.9894,0.9803,0.9948
35.0,0.94,0.93,0.90,0.9840,0.9766,0.9913
40.0,0.93,0.92,0.90,0.9800,0.9738,0.9887
