name,ra,dec,semimaj_arcsec,axial_ratio,pos_angle,global_flag,GALEX_FUV,GALEX_FUV_err,GALEX_FUV_flag,GALEX_NUV,GALEX_NUV_err,GALEX_NUV_flag,SDSS_u,SDSS_u_err,SDSS_u_flag,SDSS_g,SDSS_g_err,SDSS_g_flag,SDSS_r,SDSS_r_err,SDSS_r_flag,SDSS_i,SDSS_i_err,SDSS_i_flag,SDSS_z,SDSS_z_err,SDSS_z_flag,2MASS_J,2MASS_J_err,2MASS_J_flag,2MASS_H,2MASS_H_err,2MASS_H_flag,2MASS_Ks,2MASS_Ks_err,2MASS_Ks_flag,WISE_3.4,WISE_3.4_err,WISE_3.4_flag,WISE_4.6,WISE_4.6_err,WISE_4.6_flag,WISE_12,WISE_12_err,WISE_12_flag,WISE_22,WISE_22_err,WISE_22_flag,Spitzer_3.6,Spitzer_3.6_err,Spitzer_3.6_flag,Spitzer_4.5,Spitzer_4.5_err,Spitzer_4.5_flag,Spitzer_5.8,Spitzer_5.8_err,Spitzer_5.8_flag,Spitzer_8.0,Spitzer_8.0_err,Spitzer_8.0_flag,Spitzer_24,Spitzer_24_err,Spitzer_24_flag,Spitzer_70,Spitzer_70_err,Spitzer_70_flag,Spitzer_160,Spitzer_160_err,Spitzer_160_flag,PACS_70,PACS_70_err,PACS_70_flag,PACS_100,PACS_100_err,PACS_100_flag,PACS_160,PACS_160_err,PACS_160_flag,SPIRE_250,SPIRE_250_err,SPIRE_250_flag,SPIRE_350,SPIRE_350_err,SPIRE_350_flag,SPIRE_500,SPIRE_500_err,SPIRE_500_flag
ESO149-013,0.6945,-52.77158,77.9422863406,1.00002142896,135.000038006,,,,,-6.09061992741e-07,4.4414609147e-05,N,,,,,,,,,,,,,,,,0.00430693512721,0.00343322208103,,0.00729974183954,0.0114431089104,,0.00520445793553,0.00638804797276,,0.00175041427454,0.000773122036845,,0.00133322279639,0.000895120244438,,-0.00148718854981,0.00137947863487,,-0.00295261445546,0.00587902133343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0496298134121,0.0829907136116,,0.00789953293092,0.0586384593379,,0.00730199002477,0.0345829976767,
NGC0007,2.08695,-29.91534,116.668752131,1.52775641593,119.306954827,,0.00279200748703,0.000130764807936,,0.00313162214866,0.000109649409897,,,,,,,,,,,,,,,,,0.0268669351892,0.00541838506885,,0.0233901986784,0.0101780238989,,0.0142897921109,0.00727816647777,,0.0103467245337,0.0010306393502,,0.00448587065124,0.00124229641045,,0.00537665838365,0.00248152074394,,0.0165836110898,0.00722334351906,,0.0110739007242,0.000968774500588,,0.00834086318324,0.00079195684764,,,,,,,,,,,,,,,,,,,,-0.585993204804,0.550268549441,,0.479281338382,0.561583314535,,0.419146475374,0.108798695968,,0.343955862951,0.0668559941907,,0.168743454575,0.0487141711689,
ESO410-005,3.8802,-32.18061,86.9907247737,1.1080530718,-34.8075672009,,0.000169842576685,1.52663810309e-05,,0.000505196639644,2.94941369807e-05,,,,,,,,,,,,,,,,,-0.0376715606135,0.0132443267554,A,-0.0286237604534,0.0176448257128,,-0.0236594344641,0.0146862793989,,0.0033235104522,0.000981592313752,,-0.000754057655556,0.00118332616769,,0.0270853859552,0.0081510679814,a,0.00531372177824,0.0062909353716,a,,,,0.00474757261152,0.00176050643104,,-0.008818230501,0.00400596301978,A,0.00330872983296,0.00720459725201,,-0.00631232960235,0.045452427167,,,,,,,,,,,0.606719822951,0.298355089258,,0.575689527001,0.351670291834,,0.0498914754084,0.0870690549913,,0.0156618512391,0.0656728270684,,0.00978973561341,0.0331192802386,
IC0010,5.09625,59.2931,542.405823712,1.18592809604,-2.62233773799,,,,,82.6366512013,332.637806656,,,,,,,,,,,,,,,,,12.0442547577,0.493812484791,,9.52168604983,1.54528914712,,7.53081103442,0.53471608572,,3.93563423666,0.190751804652,,2.15783527166,0.114588439952,,2.08734481305,2.67951464834,,10.9596347314,2.14435256305,,2.52990157723,0.230973903038,N,1.43788420073,0.189355625181,N,2.29768707635,0.111084358409,N,3.84308686244,0.129358803249,N,6.78629932703,0.39828114541,N,,,,,,,150.750806222,16.1716056163,,216.045743398,37.1516787135,,214.645823529,118.767051682,,110.582864955,59.0840493067,,52.92695254,40.4193627298,,21.0823917397,14.0784616873,
NGC0115,6.6933,-33.67698,129.879511368,1.67133911553,36.7071681249,,0.00310127233911,0.00014219568293,,0.0039161779053,0.000110149787981,,,,,,,,,,,,,,,,,0.0335853171543,0.00725107473401,,0.0325158939558,0.00844299797631,,0.0216488135216,0.0104490818197,,0.0153912600679,0.00141282770932,,0.0106226526504,0.00124687530731,,0.013496043134,0.00252025631912,,0.0239754090526,0.00755844279814,,0.0140495681903,0.000607036236628,,0.0113240440079,0.000518197799427,,,,,,,,,,,,,,,,,,,,0.896019859254,0.600566138485,,2.15713528308,0.488568230847,,0.912792408021,0.129122310601,,0.495308969065,0.0978045292162,,0.259551035836,0.0600571072026,
ESO410-012,7.0752,-27.98335,84.7902743165,4.16748145035,35.4984785801,,0.000374352067977,3.25912618358e-05,,0.000440077501773,1.35215678317e-05,,,,,,,,,,,,,,,,,0.00195985680672,0.00143307224761,,0.0024914948018,0.00287744490082,,0.00498631163404,0.0022852678722,,0.0011383335625,0.000246385044474,,0.000449185867147,0.000215197177432,,0.0002291015538,0.000675828148107,,0.00360020703976,0.00189415729172,,0.00128315486553,9.70025292043e-05,,0.000849692509431,0.000119137355427,,,,,,,,,,,,,,,,,,,,-0.0381117216695,0.260974308391,,-0.106164914873,0.250665648816,,,,,,,,,,
NGC0131,7.41045,-33.25987,126.527578773,1.61119208356,-29.840473512,,0.00140150687154,7.05506586538e-05,,0.00209890493207,6.87873936415e-05,,,,,,,,,,,,,,,,,0.0467462045564,0.0182836717215,,0.0468558358565,0.0613509370176,,0.0475752501345,0.0222521210147,,0.0250461757398,0.00129283598612,,0.0136575229254,0.00152963536748,,0.0465736572276,0.00430944254211,,0.0591040371724,0.0086487249191,,0.0246282777056,0.0010706018061,,0.0171489202934,0.0010545277859,,,,,,,,,,,,,,,,,,,,0.840168546672,0.595005661018,,3.70705241658,0.655655690356,,1.709497321,0.148984461961,,0.814983971663,0.112224619499,,0.385023915811,0.0549439163821,
UGC00300,7.5174,3.51291,77.9422863406,1.00002142896,135.000038006,,0.00050413316885,2.58456486161e-05,,0.000604887857063,2.37756561342e-05,,0.000559229129798,0.000669697615728,,0.00267738336355,0.000211539232725,,0.00354837249004,0.000379620089088,,0.00416360828624,0.000517922908067,,0.00404339381038,0.00177810105759,,0.00885823734482,0.00305869339283,,0.000920880023168,0.00482802087517,,6.02822896916e-05,0.00403201250815,,0.00194232001643,0.00075540945296,,0.00100584189226,0.000754240189456,,-0.00142412456571,0.0019074321067,,-0.0052048717431,0.00527191830806,,,,,0.00237986151182,0.00035403213867,,,,,,,,0.00147697552877,0.00193696420632,,,,,,,,,,,,,,,,,0.0582870476447,0.083791119564,,-0.0185440807904,0.0535860025343,,0.0482606424315,0.0385512034167,
UGC00313,7.8588,6.20675,77.9422863406,1.00002142896,135.000038006,,0.00107194535621,6.20577963789e-05,,0.00112337158992,5.41999255911e-05,,0.00375664778281,0.000508386664538,,0.00869853390662,0.00023233714413,,0.0136510742645,0.000353376334951,,0.0173024354252,0.000628132680055,,0.0203457040973,0.00145672180903,,0.0186881981068,0.003130309533,,0.0146673000983,0.011444383744,,0.0100976761201,0.00504024088868,,0.0109168362494,0.000768351653272,,0.00721985083074,0.00067113512618,,0.0166819946835,0.00227181154275,,0.0237313150885,0.00636337361679,,0.0115764370637,0.000679227685508,,0.00797078788232,0.000594639875048,,,,,,,,,,,,,,,,,,,,,,,,,,0.674811305397,0.0918775699695,,0.355100919284,0.0697537417254,,0.154397583471,0.0402468635259,
UGC00320,8.1285,2.57422,77.9422863406,1.00002142896,135.000038006,c,0.00047764368355,2.46763944535e-05,c,0.000685301400658,3.88434135392e-05,c,0.00105697361578,0.000255349672489,c,0.00236978615826,0.000240317963473,c,0.00349190595716,0.00038713560187,c,0.00436229599357,0.000685065239089,c,0.00485595674375,0.00116878712036,c,0.00131658699032,0.00348165869165,c,0.00975146850852,0.00732071194354,c,0.000103108617577,0.00504596949387,c,0.00386554063247,0.000776599879799,c,0.00205559329158,0.000916817142274,c,-0.0030208185384,0.00158347143721,c,0.0028693902538,0.00551407143498,c,0.00312357230442,0.000718084261771,c,0.00211723741835,0.00107105721585,c,,,,,,,,,,,,,,,,,,,,,,,,,-0.0073077016801,0.0745053157052,c,0.00254991389959,0.0650395691161,c,0.0636918257829,0.0401720505592,c
